"filename", "language", "YAML", "Markdown", "JSON", "Go Module File", "HTML", "Go Checksum File", "JavaScript", "TypeScript", "Go", "JSON with Comments", "Shell Script", "Docker", "vue", "MS SQL", "XML", "TypeScript JSX", "PostCSS", "Ignore", "comment", "blank", "total"
"/Users/changzechuan/DBMSProjects/bytebase/backend/common/util.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 173, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 28, 235
"/Users/changzechuan/DBMSProjects/bytebase/backend/common/util_test.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9, 254
"/Users/changzechuan/DBMSProjects/bytebase/backend/component/config/profile.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 10, 72
"/Users/changzechuan/DBMSProjects/bytebase/backend/component/dbfactory/dbfactory.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 9, 72
"/Users/changzechuan/DBMSProjects/bytebase/backend/component/ghost/config.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 360, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 18, 391
"/Users/changzechuan/DBMSProjects/bytebase/backend/component/ghost/logger.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 82
"/Users/changzechuan/DBMSProjects/bytebase/backend/component/ghost/validator.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 138, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 27, 178
"/Users/changzechuan/DBMSProjects/bytebase/backend/component/iam/acl.yaml", "YAML", 417, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 418
"/Users/changzechuan/DBMSProjects/bytebase/backend/component/iam/manager.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 159, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17, 183
"/Users/changzechuan/DBMSProjects/bytebase/backend/component/iam/manager_test.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 97, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 105
"/Users/changzechuan/DBMSProjects/bytebase/backend/component/iam/permission.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 252, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 260
"/Users/changzechuan/DBMSProjects/bytebase/backend/component/iam/permission.yaml", "YAML", 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 116
"/Users/changzechuan/DBMSProjects/bytebase/backend/component/iam/permission_test.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13, 46
"/Users/changzechuan/DBMSProjects/bytebase/backend/component/masker/masker.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 692, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 68, 813
"/Users/changzechuan/DBMSProjects/bytebase/backend/component/masker/masker_test.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 392, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 404
"/Users/changzechuan/DBMSProjects/bytebase/backend/component/sampleinstance/manager.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 247, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 39, 315
"/Users/changzechuan/DBMSProjects/bytebase/backend/component/secret/aws.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 11, 57
"/Users/changzechuan/DBMSProjects/bytebase/backend/component/secret/gcp.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 11, 57
"/Users/changzechuan/DBMSProjects/bytebase/backend/component/secret/secret.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 30
"/Users/changzechuan/DBMSProjects/bytebase/backend/component/secret/vault.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 90
"/Users/changzechuan/DBMSProjects/bytebase/backend/component/sheet/sheet.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 26, 246
"/Users/changzechuan/DBMSProjects/bytebase/backend/component/state/state.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 18, 100
"/Users/changzechuan/DBMSProjects/bytebase/backend/component/webhook/event.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15, 95
"/Users/changzechuan/DBMSProjects/bytebase/backend/component/webhook/manager.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 364, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 38, 410
"/Users/changzechuan/DBMSProjects/bytebase/backend/demo/CLAUDE.md", "Markdown", 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 107
"/Users/changzechuan/DBMSProjects/bytebase/backend/demo/data/dump.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3381, 0, 0, 0, 0, 953, 1548, 5882
"/Users/changzechuan/DBMSProjects/bytebase/backend/demo/demo.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 57
"/Users/changzechuan/DBMSProjects/bytebase/backend/enterprise/config/config.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 9, 55
"/Users/changzechuan/DBMSProjects/bytebase/backend/enterprise/config/keys/README.md", "Markdown", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 43
"/Users/changzechuan/DBMSProjects/bytebase/backend/enterprise/license.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 139, 0, 0, 0, 0, 0, 0, 0, 0, 0, 73, 25, 237
"/Users/changzechuan/DBMSProjects/bytebase/backend/enterprise/limit.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 12, 51
"/Users/changzechuan/DBMSProjects/bytebase/backend/enterprise/plan.yaml", "YAML", 167, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 179
"/Users/changzechuan/DBMSProjects/bytebase/backend/enterprise/plugin/aws/aws.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 114, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 22, 145
"/Users/changzechuan/DBMSProjects/bytebase/backend/enterprise/plugin/hub/hub.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 178, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 32, 219
"/Users/changzechuan/DBMSProjects/bytebase/backend/enterprise/plugin/license.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 24
"/Users/changzechuan/DBMSProjects/bytebase/backend/enterprise/provider_aws.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 14
"/Users/changzechuan/DBMSProjects/bytebase/backend/enterprise/provider_hub.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 13
"/Users/changzechuan/DBMSProjects/bytebase/backend/generated-go/store/advice.pb.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 192, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 31, 240
"/Users/changzechuan/DBMSProjects/bytebase/backend/generated-go/store/advice_equal.pb.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 33
"/Users/changzechuan/DBMSProjects/bytebase/backend/generated-go/store/approval.pb.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 336, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 55, 427
"/Users/changzechuan/DBMSProjects/bytebase/backend/generated-go/store/approval_equal.pb.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 91
"/Users/changzechuan/DBMSProjects/bytebase/backend/generated-go/store/audit_log.pb.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 307, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 44, 380
"/Users/changzechuan/DBMSProjects/bytebase/backend/generated-go/store/audit_log_equal.pb.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 71
"/Users/changzechuan/DBMSProjects/bytebase/backend/generated-go/store/changelist.pb.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 155, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 26, 198
"/Users/changzechuan/DBMSProjects/bytebase/backend/generated-go/store/changelist_equal.pb.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 42
"/Users/changzechuan/DBMSProjects/bytebase/backend/generated-go/store/changelog.pb.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 584, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 93, 705
"/Users/changzechuan/DBMSProjects/bytebase/backend/generated-go/store/changelog_equal.pb.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 201, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 213
"/Users/changzechuan/DBMSProjects/bytebase/backend/generated-go/store/common.pb.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 630, 0, 0, 0, 0, 0, 0, 0, 0, 0, 70, 97, 797
"/Users/changzechuan/DBMSProjects/bytebase/backend/generated-go/store/common_equal.pb.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 53
"/Users/changzechuan/DBMSProjects/bytebase/backend/generated-go/store/database.pb.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 4092, 0, 0, 0, 0, 0, 0, 0, 0, 0, 368, 604, 5064
"/Users/changzechuan/DBMSProjects/bytebase/backend/generated-go/store/database_equal.pb.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 1486, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 44, 1532
"/Users/changzechuan/DBMSProjects/bytebase/backend/generated-go/store/export_archive.pb.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 17, 128
"/Users/changzechuan/DBMSProjects/bytebase/backend/generated-go/store/export_archive_equal.pb.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 18
